"Country, Other",Cases in the last 7 days,Cases in the preceding 7 days,Weekly Case % Change,Cases in the last 7 days/1M pop,Deaths in the last 7 days,Deaths in the preceding 7 days,Weekly Death % Change,Deaths in the last 7 days/1M pop,Population
Senegal,28,44,-36.0,2.0,0,1,-100,0.0,17526638
Serbia,7886,10974,-28.0,909.0,57,63,-10,7.0,8674900
Seychelles,0,657,-100.0,0.0,0,0,0,0.0,99428
Sierra Leone,2,1,100.0,0.2,0,0,0,0.0,8264818
Singapore,25702,34325,-25.0,4333.0,23,26,-12,4.0,5932017
Sint Maarten,101,89,13.0,2309.0,0,0,0,0.0,43740
Slovakia,22483,35336,-36.0,4114.0,156,151,3,29.0,5464336
Slovenia,12548,15886,-21.0,6034.0,29,32,-9,14.0,2079445
Solomon Islands,429,1078,-60.0,599.0,3,3,0,4.0,716766
Somalia,0,71,-100.0,0.0,0,2,-100,0.0,16679727
South Africa,8742,9787,-11.0,144.0,49,91,-46,0.8,60635919
South Sudan,45,74,-39.0,4.0,0,0,0,0.0,11426665
Spain,83561,70344,19.0,1786.0,519,355,46,11.0,46786925
Sri Lanka,501,931,-46.0,23.0,7,16,-56,0.3,21572631
St. Barth,163,370,-56.0,16415.0,0,0,0,0.0,9930
St. Vincent Grenadines,1,1,0.0,9.0,0,0,0,0.0,111565
Sudan,47,58,-19.0,1.0,5,15,-67,0.1,45665628
Suriname,5,63,-92.0,8.0,0,1,-100,0.0,595962
Sweden,819,4379,-81.0,80.0,0,62,-100,0.0,10211053
Switzerland,37304,55174,-32.0,4255.0,25,41,-39,3.0,8766974
Syria,27,43,-37.0,1.0,2,7,-71,0.1,18254865
Taiwan,3794,1874,102.0,159.0,1,0,100,0.0,23893298
Tanzania,36,18,100.0,0.6,3,0,300,0.0,62752103
Thailand,168279,182177,-8.0,2400.0,686,645,6,10.0,70110896
Timor-Leste,12,5,140.0,9.0,0,0,0,0.0,1363005
Togo,11,22,-50.0,1.0,0,0,0,0.0,8622956
Tonga,1174,1241,-5.0,10888.0,2,3,-33,19.0,107821
Trinidad and Tobago,1667,1618,3.0,1184.0,21,25,-16,15.0,1407533
Tunisia,1092,1482,-26.0,91.0,70,102,-31,6.0,12038131
Turkey,52911,88360,-40.0,616.0,228,310,-26,3.0,85949948
Turks and Caicos,0,13,-100.0,0.0,0,0,0,0.0,39647
UAE,1472,2015,-27.0,146.0,0,0,0,0.0,10102505
UK,242883,388122,-37.0,3545.0,1533,1193,28,22.0,68519051
USA,206520,206409,0.1,617.0,2746,3855,-29,8.0,334448237
Uganda,61,73,-16.0,1.0,0,1,-100,0.0,48302914
Ukraine,11448,14120,-19.0,265.0,126,147,-14,3.0,43267404
Uruguay,3650,5000,-27.0,1044.0,15,15,0,4.0,3495101
Uzbekistan,192,219,-12.0,6.0,0,0,0,0.0,34330089
Vanuatu,1012,1737,-42.0,3164.0,4,1,300,13.0,319878
Venezuela,588,726,-19.0,21.0,9,7,29,0.3,28292923
Vietnam,243796,466148,-48.0,2465.0,177,268,-34,2.0,98893226
Yemen,2,9,-78.0,0.1,3,1,200,0.1,30991448
Zambia,583,671,-13.0,30.0,0,1,-100,0.0,19297192
Zimbabwe,350,702,-50.0,23.0,9,12,-25,0.6,15246924
