Name,Address,Location,MinPrice,MaxPrice,Currency,Cuisine,Longitude,Latitude,PhoneNumber,Url,WebsiteUrl,Award,imgURL
Antica Trattoria La Toppa,"via del Giglio 41, San Donato in Poggio, 50020, Italy",San Donato in Poggio,45,45,EUR,Regional Cuisine,11.2344884,43.5354466,3.90558E+11,https://guide.michelin.com/en/toscana/san-donato-in-poggio/restaurant/antica-trattoria-la-toppa,https://www.anticatrattorialatoppa.com/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1ab856f54fc54f5081f6820d27f667ee?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/137e0399c8db4906bf7470b2bd0872fa?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0a54b0f75cde4fec9aa426f8ec72a5d8?width=1000']"
L'Acchiatura,"via Marzani 12, Racale, 73055, Italy",Racale,58,58,EUR,Regional Cuisine,18.09482,39.96073,3.90834E+11,https://guide.michelin.com/en/puglia/racale/restaurant/l-acchiatura,https://www.acchiatura.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/17585fe3dbc8416e9555e7abe64003ce?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dbeed2d4c5554268b116298c57e96c40?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/45bc1f72d318435d841f1ca981afdc86?width=1000']"
Pascalucci,"via Appia 1, San Nicola Manfredi, 82010, Italy",San Nicola Manfredi,45,45,EUR,"Regional Cuisine, Seafood",14.8327808,41.0942246,3.90825E+11,https://guide.michelin.com/en/campania/san-nicola-manfredi/restaurant/pascalucci,https://www.pascalucci.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d0442487133c4980a3c58dd4aa554a1b?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a8bd64ef34a744ffa457b2da16f7ddd4?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b18138bca83a4b068a5296b1a05d0972?width=1000']"
Locanda da Condo,"via Fontana 134, Col San Martino, 31010, Italy",Col San Martino,30,45,EUR,Regional Cuisine,12.0885489,45.8969808,3.90439E+11,https://guide.michelin.com/en/veneto/col-san-martino/restaurant/locanda-da-condo,http://www.locandadacondo.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/045957a41083418ab625fd41621deada?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a1c457c66dbd41be91c1d7220a050b2e?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/751ec3a70c9b43bbb080d0db44eaa82f?width=1000']"
Osteria Expanificio,"piazza Sinatra 16, Agrigento, 92100, Italy",Agrigento,25,40,EUR,Sicilian,13.5763684,37.3108491,3.90923E+11,https://guide.michelin.com/en/sicilia/agrigento/restaurant/osteria-expanificio,https://www.osteriaexpanificio.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/1ef58cd43bde490f916c03de7cb3bdba?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c9f257690eff46b8a97a204aad2694c2?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5ce4fa58f3274c899b3f49e5cf9c8442?width=1000']"
Trattoria Ai Due Platani,"via Budellungo 104/a, Coloreto, 43100, Italy",Coloreto,40,40,EUR,Emilian,10.3794418,44.7687333,3.90522E+11,https://guide.michelin.com/en/emilia-romagna/coloreto/restaurant/trattoria-ai-due-platani,http://www.aidueplatani.com,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/0d78a90de2354556a037c54168d3cec1?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/08e4f14f43e34f75b1271c7b310167b9?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9a96ca2fbb054f6e93acc9ea5e431fec?width=1000']"
La Campanara,"via Borgo 24/a, localit횪 Pianetto, Galeata, 47010, Italy",Galeata,25,50,EUR,Regional Cuisine,11.90544,43.98591,3.90544E+11,https://guide.michelin.com/en/emilia-romagna/galeata/restaurant/la-campanara,https://www.osterialacampanara.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b7d94f80375f4c6aad06734f17aa9d0f?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/dee8f630abc24aa2b8eed291cb7ede00?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/bcdcf0cdf0ee4c8d879d425d69311603?width=1000']"
Fonte alla Vena,"via Dante Alighieri 137, San Quirico d'Orcia, 53027, Italy",San Quirico d'Orcia,20,80,EUR,Tuscan,11.60968,43.0561,3.90578E+11,https://guide.michelin.com/en/toscana/san-quirico-d-orcia/restaurant/fonte-alla-vena,https://www.fonteallavena.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6f50ed00aad644958422042f1bfbdd3c?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/567fdfdaf95f41daba0d8cb20a946550?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/a631e5514f66436b970a53ec85d35de9?width=1000']"
Osteria Did첫,"viale Matteotti 76, Imperia, 18100, Italy",Imperia,45,45,EUR,Ligurian,8.0324832,43.8883554,3.90183E+11,https://guide.michelin.com/en/liguria/imperia/restaurant/osteria-didu,http://www.osteriadidu.it/,Bib Gourmand,[]
Cibus,"via Chianche di Scarano 7, Ceglie Messapica, 72013, Italy",Ceglie Messapica,25,50,EUR,Apulian,17.51819,40.6465,3.90831E+11,https://guide.michelin.com/en/puglia/ceglie-messapica/restaurant/cibus,https://www.ristorantecibus.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9ab63392b908441c90890ee0a9d2837d?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/20fd0c523ca6405e9424e02a41c6a146?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c43efadcf8924e7db278180d225ce11d?width=1000']"
Trattoria Lanzagallo,"via Ravenna 1048, Gaibana, 44040, Italy",Gaibana,38,38,EUR,Seafood,11.6549983,44.7540004,3.90533E+11,https://guide.michelin.com/en/emilia-romagna/gaibana/restaurant/trattoria-lanzagallo,,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e78d6e19b298464f872538c388a92a28?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/9e698656fdb94902ba895a15370ea797?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4cf26f9aa0ce47ebbcdb18a7e1f5580e?width=1000']"
Burro & Alici,"lungomare Colombo 98, Marotta, 61032, Italy",Marotta,30,55,EUR,Seafood,13.1445346,43.7664235,3.90722E+11,https://guide.michelin.com/en/marche/marotta/restaurant/burro-alici,https://www.ristoranteburroealici.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4347b4ca183a418bbb0cdca7a1aa1500?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ed652103ddfb448eb062c4a6c5a8f4d1?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/6ab7d5ba09fe41a79939b9ebc7a12e9a?width=1000']"
La Pineta,"piazzale Sant'Anna 6, Sant'Anna, 12020, Italy",Sant'Anna,25,35,EUR,Piedmontese,7.3086768,44.4981324,3.90172E+11,https://guide.michelin.com/en/piemonte/sant-anna/restaurant/la-pineta148217,https://www.lapinetaalbergo.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/46dad53ce84b46249c674ebc6a3e57f1?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e793f008fa5d4767babaaaec6b8c6754?width=1000']"
Trattoria da Marino,"via Provinciale Lucchese 102, localit횪 Ponte di Serravalle, Serravalle Pistoiese, 51030, Italy",Serravalle Pistoiese,25,55,EUR,Tuscan,10.8219738,43.8969441,39057351042,https://guide.michelin.com/en/toscana/serravalle-pistoiese/restaurant/trattoria-da-marino,,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/d0f8ac6fdc36465b817c006ea0274385?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/bbd601b71696400999d07ee2c524dea5?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/375065f9c9274fe788195870dd7a857c?width=1000']"
Osteria Piazzetta Cattedrale,"largo Arcidiacono Trinchera 7, Ostuni, 72017, Italy",Ostuni,35,60,EUR,Regional Cuisine,17.578646,40.732876,3.90831E+11,https://guide.michelin.com/en/puglia/ostuni/restaurant/osteria-piazzetta-cattedrale,https://www.piazzettacattedrale.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/b0ecd3a0c9284b69ae3cdb2a7a2fa624?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/5a9ebcb2d7bc457dba606ae93602afd0?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/680c9b25ce4446aeb8fb3706debb5ac6?width=1000']"
Trippi,"via Stelvio 297, Sondrio, 23020, Italy",Sondrio,16,52,EUR,"Cuisine from Valtellina, Regional Cuisine",9.901579,46.1699887,3.90343E+11,https://guide.michelin.com/en/lombardia/sondrio/restaurant/trippi,https://www.ristorantetrippi.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/460a00fb3bef460cab4ab69e3dad8db0?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e00c824f601c44189acb7213b4d9b91e?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/671bf8ee540a44cb8ecf9d835c622906?width=1000']"
Osteria del 36,"via Saffi 26/a, Parma, 43121, Italy",Parma,45,45,EUR,Emilian,10.3347971,44.8023183,3.90521E+11,https://guide.michelin.com/en/emilia-romagna/parma/restaurant/osteria-del-36,https://www.osteriadel36.it/,Bib Gourmand,"['https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f391ba6b21b64bd79a01c041acba447d?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c760e8ad4ad74d8684c980adbb542027?width=1000', 'https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f00cc90fd87c475193c837cc15961295?width=1000']"
