index,name,address,latitude,longitude,url
1060,Seventh Son,"1 Jianguomenwai Street, Beijing, China Mainland",39.910984,116.452361,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/seventh-son-1186794
1061,Furong,"9C Jinrong Street, Beijing, China Mainland",39.916154,116.35324,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/furong
1063,Zijin Mansion,"5-15 Jinyu Hutong, Beijing, China Mainland",39.916259,116.414122,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/zijin-mansion
1065,Zhiguan Courtyard,"12 Jinyu Hutong, Beijing, China Mainland",39.91405,116.409091,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/zhiguan
1066,Cai Yi Xuan,"48 Liangmaqiao Road, Beijing, China Mainland",39.948977,116.461067,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/cai-yi-xuan
1070,The Georg,"Dianmen East Street, Beijing, China Mainland",39.934451,116.39889,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/the-georg
1071,Vege Wonder,"269 Wangfujing Street, Beijing, China Mainland",39.911324,116.402415,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/vege-wonder
1072,Poetry‧Wine (Dongsanhuan Middle Road),"61 Dongsanhuan Middle Road, Beijing, China Mainland",39.897639,116.454715,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/poetry%E2%80%A7wine
1074,Mio,"48 Liangmaqiao Road, Beijing, China Mainland",39.95071,116.4672,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/mio
1075,Lu Style (Anding Road),"Anding Road, Beijing, China Mainland",39.977857,116.398637,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/lu-style
1076,Jing Yaa Tang,"11 Sanlitun Road, Beijing, China Mainland",39.9404737,116.4615173,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/jing-yaa-tang
1077,Xin Rong Ji (Jianguomenwai Street),"2 Jianguomenwai Street, Beijing, China Mainland",39.906171,116.453263,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/xin-rong-ji-jianguomenwai-street
1078,Country Kitchen,"1 Chaoyangmenwai Street, Beijing, China Mainland",39.918808,116.454181,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/country-kitchen
1079,The Tasty House,"4 Gongrentiyuchang North Road, Beijing, China Mainland",39.930362,116.452431,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/the-tasty-house
1080,Huaiyang Fu,"198 Andingmenwai Street, Beijing, China Mainland",39.95238,116.402769,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/huaiyang-fu
1083,In Love (Gongti East Road),"Gongrentiyuchang East Road, Beijing, China Mainland",39.927315,116.443233,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/in-love-gongti-east-road
1084,The Beijing Kitchen,"87 Jianguo Road, Beijing, China Mainland",39.909316,116.473274,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/the-beijing-kitchen
1085,Lao Ji Tang (Gongrentiyuchang South Road),"15 Gongrentiyuchang South Road, Beijing, China Mainland",39.925181,116.442599,https://guide.michelin.com/en/beijing-municipality/beijing/restaurant/lao-ji-tang
1145,Mi Xun Teahouse,"81 Bitieshi Street, Chengdu, 610021, China Mainland",30.654727,104.081984,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/mi-xun-teahouse
1146,Chaimen Hui,"289 Jiaozi Avenue, Chengdu, China Mainland",30.584093,104.053347,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/chaimen-hui
1147,Silver Pot,"300 Jiaozi Avenue, Chengdu, China Mainland",30.5856,104.056593,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/silver-pot
1148,Chengdu Restaurant,"No. 46-1, Section 4, Renmin South Road, Chengdu, China Mainland",30.618011,104.064047,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/chengdu-restaurant
1149,Ma's Kitchen,"1 East Kangshi Street, Chengdu, China Mainland",30.653874,104.081227,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/ma-s-kitchen
1150,Fang Xiang Jing,"16 Majia Garden Road, Chengdu, China Mainland",30.685754,104.051369,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/fang-xiang-jing
1152,Xu's Cuisine,"1 Wangjiang Road, Chengdu, China Mainland",30.639715,104.086383,https://guide.michelin.com/en/chengdu-municipality/chengdu/restaurant/xu-s-cuisine
1178,PRU,"60/1 Mu 6, Si Sunthon Road, Choeng Talay, Phuket, 83110, Thailand",8.0362567,98.2757375,https://guide.michelin.com/en/phuket-region/phuket/restaurant/pru
1214,Espacio N,"Carretera de Tarragona a San Sebastián, Esquedas, 22810, Spain",42.2117392,-0.5474034,https://guide.michelin.com/en/aragon/esquedas/restaurant/espacio-n
1219,Hospedería El Batán,"Carretera A 1512, Tramacastilla, 44112, Spain",40.42797,-1.5602059,https://guide.michelin.com/en/aragon/tramacastilla/restaurant/hospederia-el-batan
1293,Sala,"Plaza Major 17, Olost, 08516, Spain",41.9859741,2.0959879,https://guide.michelin.com/en/catalunya/olost/restaurant/sala
1540,HANE,"14 Eonju-ro 172-gil, Gangnam-gu, SEOUL, 06017, South Korea",37.5275808,127.0348773,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/hane
1542,Table for Four,"2F, 11 Sapyung-daero 14-gil, Seocho-gu, SEOUL, South Korea",37.49769,126.99442,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/table-for-four
1603,Andrea Monesi - Locanda di Orta,"via Olina 18, Orta San Giulio, 28016, Italy",45.7987349,8.405835,https://guide.michelin.com/en/piemonte/orta-san-giulio/restaurant/locanda-di-orta
1614,Il Falconiere,"località San Martino a Bocena 370, San Martino, 52044, Italy",43.2821868,11.9763509,https://guide.michelin.com/en/toscana/san-martino/restaurant/il-falconiere
1636,Dolomieu,"via Castelletto Inferiore 10, Madonna di Campiglio, 38086, Italy",46.223693,10.8257548,https://guide.michelin.com/en/trentino-alto-adige/madonna-di-campiglio/restaurant/dolomieu
1714,Damiano Nigro,"Borgata Cerequio 18, La Morra, 12064, Italy",44.6245783,7.9389166,https://guide.michelin.com/en/piemonte/la-morra/restaurant/damiano-nigro-1194935
1749,Il Parco di Villa Grey,"viale Italico 84, Forte dei Marmi, 55042, Italy",43.9665684,10.1573065,https://guide.michelin.com/en/toscana/forte-dei-marmi/restaurant/il-parco-di-villa-grey
1770,Aminta Resort,"via Trovano 3, Genazzano, 00030, Italy",41.81092,12.966885,https://guide.michelin.com/en/lazio/genazzano/restaurant/aminta-resort
1777,Cannavacciuolo Countryside,"via Ticciano 137, Ticciano, 80069, Italy",40.6456678,14.4515515,https://guide.michelin.com/en/campania/ticciano/restaurant/cannavacciuolo-countryside
1779,Antica Corte Pallavicina,"strada del Palazzo Due Torri 3, Polesine Parmense, 43016, Italy",45.0212099,10.0859923,https://guide.michelin.com/en/emilia-romagna/polesine-parmense/restaurant/antica-corte-pallavicina
1787,La Serra,"via Marconi 169, località Belvedere Fornillo, Positano, 84017, Italy",40.6262458,14.4785098,https://guide.michelin.com/en/campania/positano/restaurant/la-serra
1897,Maison Lameloise,"501 Middle Yincheng Road, Shanghai, China Mainland",31.235929,121.500972,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/maison-lameloise-563686
1898,Fu 1015,"1015 Yuyuan Road, Shanghai, China Mainland",31.218564,121.429009,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/fu-1015
1899,T'ang Court,"99 Madang Road, Shanghai, China Mainland",31.208949,121.445604,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/t-ang-court-506725
1900,Shang-High Cuisine,"1108 Mei Hua Road, Shanghai, China Mainland",31.23491,121.480586,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/shang-high-cuisine
1903,Moose (Changning),"No.1, Lane 119, Xinhua Road, Shanghai, China Mainland",31.20189,121.4297,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/moose-changning
1904,Yi Long Court,"32 Zhongshan Dong Yi Road, Shanghai, China Mainland",31.243758,121.507579,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/yi-long-court
1905,Jin Xuan,"8 Century Avenue, Shanghai, China Mainland",31.238417,121.498024,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/jin-xuan
1906,Yu Zhi Lan,"851 Julu Road, Shanghai, China Mainland",31.218916,121.449455,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/yu-zhi-lan
1907,Obscura,"538 Xikang Road, Shanghai, China Mainland",31.236348,121.442233,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/obscura
1908,Seventh Son,"1515 West Nanjing Road, Shanghai, China Mainland",31.219598,121.460072,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/seventh-son-jingan
1909,Tea Culture (East Beijing Road),"99 East Beijing Road, Shanghai, China Mainland",31.22318,121.464502,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/tea-culture-east-beijing-road
1910,Moose (Pudong),"899 South Pudong Road, Shanghai, China Mainland",31.230604,121.51517,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/moose-pudong
1912,Meet the Bund,"588 Zhongshan Dong Er Road, Shanghai, China Mainland",31.228818,121.493593,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/meet-the-bund
1913,Ming Court,"333 Shenhong Road, Shanghai, China Mainland",31.19512,121.31633,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/ming-court-570629
1914,Phénix,"1 Changde Road, Shanghai, 200040, China Mainland",31.223997,121.44368,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/phenix
1916,Ren He Guan (Zhaojiabang Road),"407 Zhaojiabang Road, Shanghai, China Mainland",31.203604,121.453734,https://guide.michelin.com/en/shanghai-municipality/shanghai/restaurant/ren-he-guan-zhaojiabang-road
